Name,Category,Rating,Website,Latitude,Longitude
Red Cow,American,8.5,http://redcowmn.com/,44.98443699,-93.26954774
Kado No Mise,Japanese,8,https://www.kadonomise.com/,44.98476546,-93.26749284
Spoon and Stable,Modern American,9,https://www.spoonandstable.com/,44.98565308,-93.26945371
Runyon's,Pub,8,https://www.facebook.com/RunyonsTavern/,44.98317049,-93.27076749
Cuzzy's,Bar & Grill,5,http://www.cuzzys.com/,44.98635346,-93.27513043
Smack Shack,Seafood,8,https://smack-shack.com/dine-in-menu/,44.98695675,-93.2764246
The Freehouse,Brepub,6.5,https://www.freehousempls.com/?utm_source=local&utm_medium=organic&utm_campaign=gmb,44.98751111,-93.27692376
Parlour,Modern American,8.5,https://www.parlourbar.com/locations-minneapolis,44.98886052,-93.2779103
D-Spot,Wings,9,http://www.eatatdspot.com/,44.9612058,-92.96146437
Revival,Southern,9,https://www.revivalfriedchicken.com/,44.92530912,-93.27764125